Identifier,NS1,NS2,NS3,NS4,NS Total,HA1,HA2,HA3,HA4,HA Total,RD1,RD2,RD3,RD4,RD Total,P1,P2,P3,P4,P Total,SD1,SD2,SD3,SD4,SD5,SD Total,CO1,CO2,CO3,CO4,CO5,CO Total,ST1,ST2,ST3,ST Total
0x8a8E1570fE9358135199932f636d4e089A33b9bB,2.4,1.89,1.33,2.14,1.94,1.64,3.29,4.14,3.75,3.2,2.75,2.2,2.17,2.33,2.36,4.11,5,4.78,4,4.47,5,5,4.8,4.6,5,4.88,4.38,5,4.88,5,5,4.85,4.7,4.75,5,4.82
Ornamental Salt,2.5,2.78,3.56,2.86,2.92,3.45,2.86,4.71,2.75,3.44,3.25,2.6,2.33,2.67,2.71,2.11,3.67,3.89,4.13,3.45,3.75,4.33,3.4,3.1,2.09,3.33,3.5,3,3.75,5,4.75,4,4.3,4,4.63,4.31
ape,3.7,1.78,2.33,2,2.45,1.82,1.71,1.86,1.5,1.72,2.75,4.6,4.83,3.83,4,4.89,4.83,4.78,5,4.88,4.63,5,4.2,3.1,4.91,4.37,4.25,5,4.88,5,5,4.83,4.2,4.88,4.88,4.65
Grapefruit juice,3.1,2.67,3.78,3,3.14,1.82,2.29,2.86,2.38,2.33,3.13,2.9,2.83,2.67,2.88,2.44,3.5,3.22,3.25,3.1,4.38,4.33,4.2,3.6,3.55,4.01,3.75,4,4.63,4.57,4.63,4.31,3.3,3.63,4,3.64
JonnyB,3.5,2.44,1.78,3.86,2.89,2.73,3,3.43,2.25,2.85,2.5,2.7,2.67,3.5,2.84,3.56,3.5,3.89,3.38,3.58,4.25,3.67,4,3,4,3.78,4,4,4.38,4.86,4.38,4.32,2.9,3,2.25,2.72
4S+9zQMgKxCmTXcJWhqA,3.9,1.89,3.67,1.57,2.76,1,2.14,1,3,1.79,4.5,4.2,4,2.33,3.76,4.56,5,4.33,4.88,4.69,4.5,5,4.2,4.6,4.91,4.64,5,5,4.5,5,5,4.9,4.8,4.75,4.5,4.68
tj,3.5,3.78,3.33,4.57,3.8,2,3,2.86,2.5,2.59,3.25,4.2,3.67,3.5,3.65,3.67,3.83,3.89,3.5,3.72,3.63,3.67,2.8,2.7,2.82,3.12,3.5,4.2,2.88,1.43,2.88,2.98,4.5,3,2,3.17
A code sent to my email,3.8,2,1.56,2.57,2.48,1.82,2.57,2.57,2,2.24,2.88,3,1.67,3.33,2.72,3,3.17,3.33,3.5,3.25,3.63,4.5,4,2.4,4.82,3.87,4.88,4,4.5,5,3.88,4.45,5,3.5,3,3.83
mango15,3.6,2.67,2.56,2.29,2.78,2.91,3,2.71,3.88,3.12,4.5,4.3,3.5,3.67,3.99,2.78,3.33,4.44,4,3.64,4,3.5,4,2.3,3.27,3.41,4,5,4,4,4.75,4.35,3.3,3.75,3.88,3.64
Cjb123,3.9,1.78,1.89,3,2.64,3.45,2.43,3.43,3.13,3.11,3.13,3.3,4,3.5,3.48,2.56,3.83,3.44,3.63,3.36,3.13,3,3.6,3.3,3.36,3.28,3.88,4.2,4.13,4.29,3.5,4,4,2.75,2.13,2.96
